Account Number,Suite,House Number,Street Name,Garage,Neighbourhood ID,Neighbourhood,Ward,Assessed Value,Latitude,Longitude,Point Location,Assessment Class % 1,Assessment Class % 2,Assessment Class % 3,Assessment Class 1,Assessment Class 2,Assessment Class 3
1066158,,14904,167 AVENUE NW,N,,,,86000,53.63049663,-113.5804743,POINT (-113.5804742693191 53.63049663158542),100,,,RESIDENTIAL,,
1194653,,8319,156 AVENUE NW,N,2050,BELLE RIVE,tastawiyiniwak Ward,257000,53.6162373,-113.4694123,POINT (-113.46941226946224 53.616237298079405),100,,,RESIDENTIAL,,
1034321,,11020,JASPER AVENUE NW,N,1150,OLIVER,O-day'min Ward,62112000,53.54127921,-113.511435,POINT (-113.51143504606169 53.541279206311984),95,5,,OTHER RESIDENTIAL,COMMERCIAL,
1114974,,14902,RIO TERRACE DRIVE NW,Y,4430,RIO TERRACE,sipiwiyiniwak Ward,842000,53.50760247,-113.5785885,POINT (-113.57858852769932 53.50760246690828),100,,,RESIDENTIAL,,
1012293,,15112,45 AVENUE NW,Y,5340,RAMSAY HEIGHTS,pihêsiwin Ward,292000,53.48456049,-113.5819129,POINT (-113.58191288991183 53.48456049274555),100,,,RESIDENTIAL,,
1191519,,,,N,2450,LAGO LINDO,tastawiyiniwak Ward,140000,53.63948693,-113.4830811,POINT (-113.48308106380469 53.63948692707017),100,,,COMMERCIAL,,
1298835,,132,LAGO LINDO CRESCENT NW,Y,2450,LAGO LINDO,tastawiyiniwak Ward,299000,53.6294807,-113.4881316,POINT (-113.48813159800764 53.62948069898028),100,,,RESIDENTIAL,,
1338524,,16807,96 AVENUE NW,Y,4180,GLENWOOD,Nakota Isga Ward,434000,53.53370269,-113.6117625,POINT (-113.611762514357 53.533702694898956),100,,,RESIDENTIAL,,
1222967,,16327,64 STREET NW,N,2500,MATT BERRY,Dene Ward,140500,53.62542238,-113.4365747,POINT (-113.43657471493623 53.62542238247154),100,,,COMMERCIAL,,
1286806,1007,10145,121 STREET NW,N,1150,OLIVER,O-day'min Ward,97000,53.5421619,-113.5301833,POINT (-113.53018329065722 53.542161896253226),100,,,RESIDENTIAL,,
1256791,,8716,153 STREET NW,Y,4230,JASPER PARK,sipiwiyiniwak Ward,342500,53.52012754,-113.5855595,POINT (-113.58555952621525 53.52012753745309),100,,,RESIDENTIAL,,
1221993,,8915,169 STREET NW,Y,4590,WEST MEADOWLARK PARK,sipiwiyiniwak Ward,358500,53.52519345,-113.6135858,POINT (-113.61358576137523 53.52519344514817),100,,,RESIDENTIAL,,
1014836,,10408,16 AVENUE NW,Y,5030,BEARSPAW,Ipiihkoohkanipiaohtsi Ward,408500,53.44653692,-113.4943907,POINT (-113.49439070331641 53.44653691741951),100,,,RESIDENTIAL,,
1003664,,17319,53 AVENUE NW,N,4451,RIVER VALLEY OLESKIW,sipiwiyiniwak Ward,130500,53.48997032,-113.6192901,POINT (-113.61929010894437 53.4899703200008),100,,,COMMERCIAL,,
1152735,,16215,84 AVENUE NW,Y,4140,ELMWOOD,sipiwiyiniwak Ward,302500,53.51749818,-113.6031231,POINT (-113.60312309985184 53.51749818306714),100,,,RESIDENTIAL,,
1218106,,8213,167 STREET NW,N,4140,ELMWOOD,sipiwiyiniwak Ward,110500,53.51612119,-113.6091518,POINT (-113.60915178424662 53.51612118780273),100,,,COMMERCIAL,,
1213313,402,8340,JASPER AVENUE NW,N,1070,CROMDALE,Métis Ward,158500,53.55591201,-113.4703111,POINT (-113.47031114606736 53.55591201019),100,,,RESIDENTIAL,,
1073865,,1603,70 AVENUE NW,N,6690,SOUTHEAST INDUSTRIAL,Sspomitapi Ward,2174500,53.5061466,-113.3674365,POINT (-113.36743649975017 53.50614660057611),100,,,COMMERCIAL,,
1080399,,9504,41 AVENUE NW,N,6700,STRATHCONA INDUSTRIAL PARK,Karhiio Ward,2609000,53.47685898,-113.476137,POINT (-113.47613696155976 53.47685898301277),100,,,COMMERCIAL,,
1097518,,17712,92 STREET NW,Y,2450,LAGO LINDO,tastawiyiniwak Ward,476000,53.63941314,-113.4817221,POINT (-113.48172210678885 53.63941314247691),100,,,RESIDENTIAL,,
1078393,,8019,152B AVENUE NW,Y,2410,KILKENNY,tastawiyiniwak Ward,412000,53.61433126,-113.4667804,POINT (-113.46678038102063 53.61433125590599),100,,,RESIDENTIAL,,
1278662,,15321,95 AVENUE NW,Y,4500,SHERWOOD,sipiwiyiniwak Ward,257500,53.53121143,-113.5863234,POINT (-113.58632344697617 53.53121143209721),100,,,RESIDENTIAL,,
1290667,204,17135,63 AVENUE NW,N,4080,CALLINGWOOD SOUTH,sipiwiyiniwak Ward,100000,53.49898412,-113.6193025,POINT (-113.61930247119706 53.49898412109566),100,,,RESIDENTIAL,,
1202415,,9337,158 STREET NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,351000,53.52979028,-113.5928073,POINT (-113.59280734205551 53.52979027722047),100,,,RESIDENTIAL,,
1131440,,18803,72 AVENUE NW,Y,4270,LYMBURN,sipiwiyiniwak Ward,327000,53.50507678,-113.648705,POINT (-113.64870503176687 53.505076783500535),100,,,RESIDENTIAL,,
1164888,,10208,90 STREET NW,Y,1210,RIVERDALE,O-day'min Ward,377000,53.54622791,-113.4724347,POINT (-113.47243467033422 53.54622791355461),100,,,RESIDENTIAL,,
1177880,1806,10135,SASKATCHEWAN DRIVE NW,N,5480,STRATHCONA,papastew Ward,229500,53.52417325,-113.4926579,POINT (-113.4926579174034 53.5241732479624),100,,,RESIDENTIAL,,
1310085,,10111,158 AVENUE NW,N,3040,BEAUMARIS,tastawiyiniwak Ward,191500,53.61879064,-113.4983,POINT (-113.49830002095884 53.61879064397748),100,,,RESIDENTIAL,,
1246057,311,1628,48 STREET NW,N,6580,POLLARD MEADOWS,Sspomitapi Ward,95500,53.44606657,-113.4142418,POINT (-113.41424176621011 53.446066565934494),100,,,RESIDENTIAL,,
1035625,,10865,21 AVENUE NW,Y,5250,KEHEEWIN,Ipiihkoohkanipiaohtsi Ward,284000,53.45224224,-113.50871,POINT (-113.5087099717808 53.452242236133046),100,,,RESIDENTIAL,,
1106087,,15103,128 AVENUE NW,N,4320,MISTATIM INDUSTRIAL,Anirniq Ward,4206500,53.58380286,-113.5826117,POINT (-113.58261169312593 53.58380285610978),100,,,COMMERCIAL,,
1044841,,14932,43 AVENUE NW,Y,5340,RAMSAY HEIGHTS,pihêsiwin Ward,236500,53.4802337,-113.5794997,POINT (-113.57949971146672 53.48023370488944),100,,,RESIDENTIAL,,
1188358,,16104,88A AVENUE NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,352500,53.52481011,-113.5985867,POINT (-113.5985866822273 53.52481010612057),100,,,RESIDENTIAL,,
1113794,,10507,231 STREET NW,N,4670,WINTERBURN INDUSTRIAL AREA WEST,Nakota Isga Ward,12500,53.55035183,-113.708829,POINT (-113.7088289513505 53.55035182926862),100,,,FARMLAND,,
1074533,,1101,77 AVENUE NW,N,6690,SOUTHEAST INDUSTRIAL,Sspomitapi Ward,1086500,53.51278371,-113.3627836,POINT (-113.36278356270412 53.51278370685947),100,,,COMMERCIAL,,
1290733,303,17131,63 AVENUE NW,N,4080,CALLINGWOOD SOUTH,sipiwiyiniwak Ward,125500,53.49898412,-113.6193025,POINT (-113.61930247119706 53.49898412109566),100,,,RESIDENTIAL,,
1020791,,170,WOLF WILLOW CRESCENT NW,Y,4610,WESTRIDGE,sipiwiyiniwak Ward,603000,53.50213713,-113.5954193,POINT (-113.59541930398653 53.50213713184495),100,,,RESIDENTIAL,,
1028216,38,10453,20 AVENUE NW,N,5250,KEHEEWIN,Ipiihkoohkanipiaohtsi Ward,188000,53.44972173,-113.4984876,POINT (-113.49848762847681 53.44972173311874),100,,,RESIDENTIAL,,
1175694,,16433,115 STREET NW,N,3180,DUNLUCE,Anirniq Ward,177500,53.62560481,-113.5219638,POINT (-113.5219637567292 53.625604811329936),100,,,RESIDENTIAL,,
